Data,ipca,ipca-mas,ipca-ma,ipca-ex,ipca-ex2,ipca-dp,ipc-br-core
10/2013,"0,57","0,58","0,52","0,6","0,51","0,61","0,41"
11/2013,"0,54","0,45","0,55","0,6","0,57","0,52","0,41"
12/2013,"0,92","0,58","0,72","0,96","0,74","0,79","0,36"
01/2014,"0,55","0,55","0,54","0,52","0,5","0,55","0,63"
02/2014,"0,69","0,51","0,57","0,92","0,79","0,69","0,52"
03/2014,"0,92","0,59","0,7","0,88","0,58","0,59","0,55"
04/2014,"0,67","0,56","0,5","0,41","0,52","0,56","0,62"
05/2014,"0,46","0,64","0,58","0,42","0,54","0,5","0,49"
06/2014,"0,4","0,56","0,47","0,73","0,71","0,61","0,53"
07/2014,"0,01","0,35","0,17","0,01","0,19","0,21","0,41"
08/2014,"0,25","0,4","0,41","0,38","0,42","0,44","0,38"
09/2014,"0,57","0,54","0,51","0,58","0,55","0,57","0,43"
10/2014,"0,42","0,51","0,41","0,42","0,41","0,44","0,47"
11/2014,"0,51","0,38","0,32","0,31","0,33","0,38","0,48"
12/2014,"0,78","0,49","0,53","0,87","0,73","0,68","0,5"
01/2015,"1,24","0,74","0,79","0,64","1,16","0,83","0,79"
02/2015,"1,22","0,77","0,73","0,91","0,9","0,83","0,73"
03/2015,"1,32","0,76","0,73","0,57","1,34","0,78","0,66"
04/2015,"0,71","0,72","0,7","0,61","0,75","0,74","0,68"
05/2015,"0,74","0,75","0,62","0,31","0,62","0,66","0,69"
06/2015,"0,79","0,72","0,62","0,68","0,89","0,77","0,71"
07/2015,"0,62","0,67","0,55","0,41","0,71","0,63","0,58"
08/2015,"0,22","0,56","0,42","0,33","0,32","0,43","0,58"
09/2015,"0,54","0,64","0,48","0,55","0,55","0,69","0,42"
10/2015,"0,82","0,66","0,61","0,63","0,53","0,73","0,76"
11/2015,"1,01","0,75","0,65","0,59","0,53","0,71","0,69"
12/2015,"0,96","0,78","0,69","0,88","0,77","0,72","0,79"
01/2016,"1,27","0,84","0,87","0,62","0,93","0,86","0,89"
02/2016,"0,9","0,73","0,69",1,"0,86","0,78","0,76"
03/2016,"0,43","0,61","0,48","0,42","0,23","0,48","0,63"
04/2016,"0,61","0,67","0,54","0,43","0,65","0,78","0,6"
05/2016,"0,78","0,73","0,62","0,5","0,98","0,81","0,61"
